# Copyright 2010 Google Inc. All Rights Reserved.
# Author: rws@google.com (Richard Sproat)
#
# Unit test for Afrikaans number names.

CARDINAL_NUMBER_NAME	0	nul
CARDINAL_NUMBER_NAME	1	een
CARDINAL_NUMBER_NAME	2	twee
CARDINAL_NUMBER_NAME	3	drie
CARDINAL_NUMBER_NAME	4	vier
CARDINAL_NUMBER_NAME	5	vyf
CARDINAL_NUMBER_NAME	6	ses
CARDINAL_NUMBER_NAME	7	sewe
CARDINAL_NUMBER_NAME	8	agt
CARDINAL_NUMBER_NAME	9	nege
CARDINAL_NUMBER_NAME	10	tien
CARDINAL_NUMBER_NAME	11	elf
CARDINAL_NUMBER_NAME	12	twaalf
CARDINAL_NUMBER_NAME	13	dertien
CARDINAL_NUMBER_NAME	14	veertien
CARDINAL_NUMBER_NAME	15	vyftien
CARDINAL_NUMBER_NAME	16	sestien
CARDINAL_NUMBER_NAME	17	sewentien
CARDINAL_NUMBER_NAME	18	agtien
CARDINAL_NUMBER_NAME	19	negentien
CARDINAL_NUMBER_NAME	20	twintig
CARDINAL_NUMBER_NAME	21	een en twintig
CARDINAL_NUMBER_NAME	32	twee en dertig
CARDINAL_NUMBER_NAME	43	drie en veertig
CARDINAL_NUMBER_NAME	54	vier en vyftig
CARDINAL_NUMBER_NAME	65	vyf en sestig
CARDINAL_NUMBER_NAME	76	ses en sewentig
CARDINAL_NUMBER_NAME	87	sewe en tagtig
CARDINAL_NUMBER_NAME	98	agt en negentig
CARDINAL_NUMBER_NAME	100	honderd
CARDINAL_NUMBER_NAME	101	honderd en een
CARDINAL_NUMBER_NAME	102	honderd en twee
CARDINAL_NUMBER_NAME	110	honderd en tien
CARDINAL_NUMBER_NAME	112	honderd en twaalf
CARDINAL_NUMBER_NAME	120	honderd en twintig
CARDINAL_NUMBER_NAME	128	honderd agt en twintig
CARDINAL_NUMBER_NAME	1000	een duisend
CARDINAL_NUMBER_NAME	10000	tien duisend
CARDINAL_NUMBER_NAME	12000	twaalf duisend
CARDINAL_NUMBER_NAME	21000	een en twintig duisend
CARDINAL_NUMBER_NAME	100000	honderd duisend
CARDINAL_NUMBER_NAME	100100	honderd duisend honderd
CARDINAL_NUMBER_NAME	101000	honderd en een duisend
CARDINAL_NUMBER_NAME	1000000	een miljoen
CARDINAL_NUMBER_NAME	1000001	een miljoen en een
CARDINAL_NUMBER_NAME	2000000	twee miljoen
CARDINAL_NUMBER_NAME	10000000	tien miljoen
CARDINAL_NUMBER_NAME	900000000	nege honderd miljoen
